disease,name,n_terms,sum,mean_dist,max_dist,min_dist,std_dist
5459,TET2 (OMIM:619126),46,4813.340678309791,4.650570703680957,8.741527059310892,0.0004317326973326853,1.6861359361709984
5460,TET3 (OMIM:618798),135,45548.71706143397,5.035789614310002,9.013265320832058,0.0005464706385911856,1.427356232368747
5461,TEX11 (OMIM:309120),19,846.8445268010049,4.952307174274883,7.975398498015863,0.000803149581822378,1.9881003384377267
5462,TEX14 (OMIM:617707),12,300.6866736103094,4.5558586910652945,7.2246585426890935,0.000803149581822378,2.1477792251853303
5463,TEX15 (OMIM:617960),25,1556.4651135459212,5.1882170451530705,8.593998861735125,0.000803149581822378,1.956922835114066
5464,TF (OMIM:209300),15,386.3866929918017,3.6798732665885874,8.379314794497649,0.7400213448202568,1.6313490245622955
5465,TFAM (OMIM:617156),81,16213.382646874064,5.004130446566069,8.865580117766548,8.678962776528191e-05,1.5078149433061028
5466,TFAP2A (OMIM:113620),271,196212.03473865526,5.363182581349057,9.244410785737713,0.00014635645308271001,1.4876992957346635
5467,TFAP2B (OMIM:169100),77,13450.999706363742,4.597060733548784,8.561392742882122,0.0021358320941856686,1.5125802421117225
5468,TFAP2B (OMIM:617035),24,1083.11494794993,3.924329521557717,7.603866439972979,0.030182697791721932,1.6683674913682662
5469,TFE3 (OMIM:300854),11,192.69124114839252,3.5034771117889547,5.906136219127596,0.36055313953333146,1.2787256384225487
5470,TFE3 (OMIM:301066),217,121154.4904202985,5.169589111635881,9.054649716855387,0.0011529351886177945,1.4697356738373228
5471,TFG (OMIM:604484),64,11122.154974660029,5.516941951716284,8.779837710775372,0.00025006395324224406,1.68711120579319
5472,TFG (OMIM:615658),62,9743.307845287782,5.152463165144253,8.616837319083508,0.0010221449047190993,1.6904341920244876
5473,TFR2 (OMIM:604250),75,13541.204281150443,4.879713254468628,8.938254079272733,0.000334057395126325,1.4988081038972718
5474,TFRC (OMIM:616740),84,16512.480954197265,4.736798896786364,8.921844382409917,0.0004605722303507187,1.411899966974421
5475,TG (OMIM:274700),22,1061.5632767473207,4.595512020551172,8.648295396113953,0.0007592063676304037,1.8617576026239555
5476,TGDS (OMIM:616145),183,82331.77186852557,4.943960359606411,9.092540522459768,0.0002764499456022031,1.443023729994255
5477,TGFB1 (OMIM:131300),103,24670.419794806614,4.696443897735887,9.159835790149819,9.774864833445439e-05,1.564565248586995
5478,TGFB1 (OMIM:618213),124,40251.73702743866,5.2782241053551875,8.871356358699975,2.000000165480742e-10,1.48665577282388
5479,TGFB2 (OMIM:614816),168,70099.73839094403,4.997129910959797,9.131171316755703,0.0002901132539534321,1.4929949267410096
5480,TGFB3 (OMIM:107970),16,598.098077399457,4.984150644995475,8.519015242516122,0.02584939923939534,1.800229725630726
5481,TGFB3 (OMIM:615582),189,91866.81947983848,5.170934339740993,8.948530293124595,0.0002901132539534321,1.5072089421282548
5482,TGFBI (OMIM:121820),14,404.8247906934012,4.44862407355386,7.492137360096273,5.163383245458136e-05,1.7378006365468333
5483,TGFBI (OMIM:121900),18,716.5340289982394,4.683228947700911,7.7017468628329855,0.0002000566332151956,1.8076460930885738
5484,TGFBI (OMIM:122200),15,493.62375597927047,4.701178628374005,7.633369026810243,0.00043503920607854075,1.8305632563920404
5485,TGFBI (OMIM:602082),20,886.6946964402626,4.666814191790856,8.76716348071779,0.0003849315865189078,1.690421304847134
5486,TGFBI (OMIM:607541),11,224.40235303446846,4.080042782444881,7.493838288015068,0.0022436583724245542,1.6998744944837374
5487,TGFBI (OMIM:608470),37,3147.5974215430033,4.726122254569074,8.105971036727992,0.19836978887431134,1.5047295919087293
5488,TGFBI (OMIM:608471),13,345.4989338355156,4.4294735107117384,7.493838288015068,0.0022436583724245542,1.657128054969353
5489,TGFBR1 (OMIM:132800),34,2349.518208498439,4.188089498214686,7.794290902363512,0.02534658487314139,1.4864186620527935
5490,TGFBR1 (OMIM:609192),213,118009.50309905794,5.22674741336956,9.037924510461162,2.000000165480742e-10,1.4573450759580582
5491,TGFBR2 (OMIM:610168),210,115965.15779868368,5.284354422359703,9.056211837735058,2.000000165480742e-10,1.4588349454157907
5492,TGFBR2 (OMIM:614331),8,88.82561787317613,3.172343495470576,5.7501566342447985,0.07650017549322971,1.820287089010454
